,issue,urgency
8,A distressing situation unfolded when a pre-authorized transaction was processed on my debit card without my consent or authorization. This unauthorized deduction has raised serious concerns regarding the security of my account and the potential exposure to fraudulent activity. Urgent intervention is necessary to reverse the transaction and investigate the circumstances surrounding its initiation. I urge the bank to prioritize this matter and undertake a thorough investigation to identify any vulnerabilities in their security protocols and prevent future unauthorized transactions on my account.,0.97
9,"I faced a harrowing experience when discovering unauthorized withdrawals made from my account after my debit card was skimmed. These unauthorized transactions have caused significant financial loss and distress, highlighting serious security vulnerabilities in the bank's systems. Urgent action is imperative to block the compromised card, investigate the unauthorized transactions, and implement robust security measures to prevent similar incidents in the future. I urge the bank to prioritize this matter and undertake immediate steps to safeguard my account and restore trust in their banking services.",0.98
10,I noticed an unauthorized subscription charge on my credit card statement for a service I never signed up for. This unauthorized deduction has raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate this matter and ensure the immediate reversal of the unauthorized charge. I urge the bank to take swift action to protect my financial interests and restore confidence in their banking services.,0.87
11,"A concerning discrepancy has emerged in the transaction history of my savings account, where a deposit made several days ago is still not reflected in my account balance. This delay in crediting the deposit has caused inconvenience and uncertainty regarding the status of my funds. Urgent investigation and resolution are needed to rectify this discrepancy and ensure the timely crediting of the deposit to my account. I urge the bank to prioritize this matter and expedite the resolution process to alleviate my concerns.",0.86
12,"I encountered an unexpected overdraft fee on my checking account statement, despite maintaining a sufficient balance to cover all transactions. This unexpected charge has caused financial strain and frustration, as it appears to be an error on the part of the bank. Urgent clarification and refund are needed to rectify this discrepancy and restore the integrity of my account. I urge the bank to promptly investigate this matter and refund the erroneous overdraft fee to my account.",0.88
13,"An alarming discrepancy has surfaced in the interest calculation of my mortgage loan, where the accrued interest appears to be significantly higher than anticipated based on the agreed-upon terms. This discrepancy has raised concerns about the accuracy of the loan calculations and potential overcharging by the bank. Urgent clarification and adjustment are needed to rectify this discrepancy and ensure the accurate calculation of interest on my mortgage loan. I urge the bank to promptly review and correct this issue to prevent further financial implications.",0.89
14,"I encountered a frustrating experience when attempting to transfer funds between my accounts online, where the transaction failed to process despite multiple attempts. This technical glitch has caused inconvenience and uncertainty about the status of the funds involved. Urgent resolution is necessary to ensure the successful completion of the transaction and the accurate reflection of the transferred funds in my accounts. I urge the bank to expedite the resolution process to mitigate the inconvenience caused by this technical issue.",0.9
15,"A distressing situation unfolded when I discovered a discrepancy in the balance of my savings account, where the available balance is significantly lower than expected. This unexpected reduction in my account balance has raised concerns about unauthorized transactions or errors in the bank's records. Urgent investigation is necessary to identify the cause of the discrepancy and rectify any inaccuracies in my account balance. I urge the bank to prioritize this matter and take immediate steps to restore the integrity of my account.",0.91
16,"I encountered an unexpected fee on my credit card statement, which appears to be a foreign transaction fee for a purchase made domestically. This discrepancy has raised concerns about the accuracy of the billing statements and potential overcharging by the bank. Urgent clarification and refund are needed to rectify this discrepancy and ensure the accurate billing of my credit card transactions. I urge the bank to promptly investigate this matter and refund the erroneous foreign transaction fee to my account.",0.92
17,"An unsettling situation unfolded when I attempted to deposit a check into my account using the mobile banking app, but the transaction failed to process, and the funds were not credited to my account. This unexpected delay in crediting the deposit has caused uncertainty and inconvenience, as the funds are needed for essential expenses. Urgent resolution is necessary to ensure the successful crediting of the deposit to my account. I urge the bank to expedite the resolution process to mitigate the financial inconvenience caused by this technical issue.",0.93
18,"A concerning discrepancy has emerged in the interest calculation of my personal loan, where the accrued interest appears to be higher than the agreed-upon terms outlined in the loan agreement. This discrepancy has raised concerns about potential overcharging by the bank and the accuracy of the loan calculations. Urgent clarification and adjustment are needed to rectify this discrepancy and ensure the accurate calculation of interest on my personal loan. I urge the bank to promptly review and correct this issue to prevent further financial implications.",0.94
19,"I encountered an unexpected delay in receiving a refund for a returned purchase made with my debit card. Despite the merchant confirming the refund, the credited amount has not reflected in my account, causing financial inconvenience and uncertainty. Urgent investigation and resolution are needed to ensure the timely crediting of the refund to my account. I urge the bank to expedite the resolution process to mitigate the financial inconvenience caused by this delay.",0.95
20,"A distressing situation unfolded when I discovered unauthorized charges on my credit card statement for transactions I did not initiate or authorize. These unauthorized deductions have raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate these charges, reverse any unauthorized transactions, and enhance the security measures of my credit card account. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.96
21,"I encountered an unexpected delay in processing a loan application submitted to the bank, which has caused uncertainty and frustration about the status of the application. This delay is particularly concerning as the funds are urgently needed for a time-sensitive expense. Urgent attention is required to expedite the processing of the loan application and provide timely approval or feedback. I urge the bank to prioritize this matter and take immediate steps to ensure the prompt processing of my loan application.",0.97
22,"An alarming discrepancy has emerged in the interest calculation of my business loan, where the accrued interest appears to be significantly higher than anticipated based on the agreed-upon terms. This discrepancy has raised concerns about potential overcharging by the bank and the accuracy of the loan calculations. Urgent clarification and adjustment are needed to rectify this discrepancy and ensure the accurate calculation of interest on my business loan. I urge the bank to promptly review and correct this issue to prevent further financial implications.",0.98
23,"A distressing situation unfolded when I discovered unauthorized withdrawals from my savings account, which I did not initiate or authorize. These unauthorized transactions have raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate these withdrawals, block any further unauthorized access to my account, and initiate the recovery of the wrongfully deducted funds. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.99
24,"An unsettling discrepancy has emerged in the balance of my checking account, where the available balance is significantly lower than expected. This unexpected reduction in my account balance has raised concerns about unauthorized transactions or errors in the bank's records. Urgent investigation is necessary to identify the cause of the discrepancy and rectify any inaccuracies in my account balance. I urge the bank to prioritize this matter and take immediate steps to restore the integrity of my account.",0.82
25,"A concerning discrepancy has surfaced in the transaction history of my credit card statement, where a charge for a transaction I didn't recognize is listed. This discrepancy has raised concerns about potential fraudulent activity on my account. Urgent investigation is necessary to identify the origin of the unauthorized charge and rectify the error. I urge the bank to expedite the investigation process to safeguard my financial interests and restore confidence in their banking services.",0.83
26,"I encountered an unexpected delay in receiving a refund for a canceled reservation made with my credit card. Despite the merchant confirming the refund, the credited amount has not reflected in my account, causing financial inconvenience and uncertainty. Urgent investigation and resolution are needed to ensure the timely crediting of the refund to my account. I urge the bank to expedite the resolution process to mitigate the financial inconvenience caused by this delay.",0.84
27,"A distressing situation unfolded when I discovered an unauthorized withdrawal from my checking account, which I did not initiate or authorize. This unauthorized transaction has raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate this withdrawal, block any further unauthorized access to my account, and initiate the recovery of the wrongfully deducted funds. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.85
28,"An alarming discrepancy has emerged in the interest calculation of my auto loan, where the accrued interest appears to be significantly higher than anticipated based on the agreed-upon terms. This discrepancy has raised concerns about potential overcharging by the bank and the accuracy of the loan calculations. Urgent clarification and adjustment are needed to rectify this discrepancy and ensure the accurate calculation of interest on my auto loan. I urge the bank to promptly review and correct this issue to prevent further financial implications.",0.86
29,"I encountered an unexpected delay in processing a wire transfer initiated from my account, which has caused uncertainty and frustration about the status of the transfer. This delay is particularly concerning as the funds are urgently needed for a time-sensitive transaction. Urgent attention is required to expedite the processing of the wire transfer and ensure the timely completion of the transaction. I urge the bank to prioritize this matter and take immediate steps to resolve the delay.",0.87
30,"A distressing situation unfolded when I discovered an unauthorized charge on my debit card statement for a transaction I did not initiate or authorize. This unauthorized deduction has raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate this charge, reverse the unauthorized transaction, and enhance the security measures of my debit card account. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.88
31,"An unsettling discrepancy has emerged in the balance of my savings account, where the available balance is significantly lower than expected. This unexpected reduction in my account balance has raised concerns about unauthorized transactions or errors in the bank's records. Urgent investigation is necessary to identify the cause of the discrepancy and rectify any inaccuracies in my account balance. I urge the bank to prioritize this matter and take immediate steps to restore the integrity of my account.",0.89
32,"I encountered an unexpected delay in receiving a refund for a returned purchase made with my credit card. Despite the merchant confirming the refund, the credited amount has not reflected in my account, causing financial inconvenience and uncertainty. Urgent investigation and resolution are needed to ensure the timely crediting of the refund to my account. I urge the bank to expedite the resolution process to mitigate the financial inconvenience caused by this delay.",0.9
33,"A distressing situation unfolded when I discovered unauthorized withdrawals from my checking account, which I did not initiate or authorize. These unauthorized transactions have raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate these withdrawals, block any further unauthorized access to my account, and initiate the recovery of the wrongfully deducted funds. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.91
34,"An alarming discrepancy has emerged in the interest calculation of my personal loan, where the accrued interest appears to be significantly higher than anticipated based on the agreed-upon terms. This discrepancy has raised concerns about potential overcharging by the bank and the accuracy of the loan calculations. Urgent clarification and adjustment are needed to rectify this discrepancy and ensure the accurate calculation of interest on my personal loan. I urge the bank to promptly review and correct this issue to prevent further financial implications.",0.92
35,"I encountered an unexpected delay in receiving a refund for a canceled reservation made with my debit card. Despite the merchant confirming the refund, the credited amount has not reflected in my account, causing financial inconvenience and uncertainty. Urgent investigation and resolution are needed to ensure the timely crediting of the refund to my account. I urge the bank to expedite the resolution process to mitigate the financial inconvenience caused by this delay.",0.93
36,"A distressing situation unfolded when I discovered unauthorized charges on my credit card statement for transactions I did not initiate or authorize. These unauthorized deductions have raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate these charges, reverse any unauthorized transactions, and enhance the security measures of my credit card account. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.94
37,"An unsettling discrepancy has emerged in the balance of my checking account, where the available balance is significantly lower than expected. This unexpected reduction in my account balance has raised concerns about unauthorized transactions or errors in the bank's records. Urgent investigation is necessary to identify the cause of the discrepancy and rectify any inaccuracies in my account balance. I urge the bank to prioritize this matter and take immediate steps to restore the integrity of my account.",0.95
38,"I encountered an unexpected delay in receiving a refund for a returned purchase made with my credit card. Despite the merchant confirming the refund, the credited amount has not reflected in my account, causing financial inconvenience and uncertainty. Urgent investigation and resolution are needed to ensure the timely crediting of the refund to my account. I urge the bank to expedite the resolution process to mitigate the financial inconvenience caused by this delay.",0.96
39,"A distressing situation unfolded when I discovered unauthorized withdrawals from my savings account, which I did not initiate or authorize. These unauthorized transactions have raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate these withdrawals, block any further unauthorized access to my account, and initiate the recovery of the wrongfully deducted funds. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.97
40,"An alarming discrepancy has emerged in the interest calculation of my auto loan, where the accrued interest appears to be significantly higher than anticipated based on the agreed-upon terms. This discrepancy has raised concerns about potential overcharging by the bank and the accuracy of the loan calculations. Urgent clarification and adjustment are needed to rectify this discrepancy and ensure the accurate calculation of interest on my auto loan. I urge the bank to promptly review and correct this issue to prevent further financial implications.",0.98
41,"I encountered an unexpected delay in processing a wire transfer initiated from my account, which has caused uncertainty and frustration about the status of the transfer. This delay is particularly concerning as the funds are urgently needed for a time-sensitive transaction. Urgent attention is required to expedite the processing of the wire transfer and ensure the timely completion of the transaction. I urge the bank to prioritize this matter and take immediate steps to resolve the delay.",0.99
42,"A distressing situation unfolded when I discovered an unauthorized charge on my debit card statement for a transaction I did not initiate or authorize. This unauthorized deduction has raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate this charge, reverse the unauthorized transaction, and enhance the security measures of my debit card account. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.88
43,"An unsettling discrepancy has emerged in the balance of my savings account, where the available balance is significantly lower than expected. This unexpected reduction in my account balance has raised concerns about unauthorized transactions or errors in the bank's records. Urgent investigation is necessary to identify the cause of the discrepancy and rectify any inaccuracies in my account balance. I urge the bank to prioritize this matter and take immediate steps to restore the integrity of my account.",0.89
44,"I encountered an unexpected delay in receiving a refund for a canceled reservation made with my credit card. Despite the merchant confirming the refund, the credited amount has not reflected in my account, causing financial inconvenience and uncertainty. Urgent investigation and resolution are needed to ensure the timely crediting of the refund to my account. I urge the bank to expedite the resolution process to mitigate the financial inconvenience caused by this delay.",0.9
45,"A distressing situation unfolded when I discovered unauthorized withdrawals from my checking account, which I did not initiate or authorize. These unauthorized transactions have raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate these withdrawals, block any further unauthorized access to my account, and initiate the recovery of the wrongfully deducted funds. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.91
46,"An alarming discrepancy has emerged in the interest calculation of my personal loan, where the accrued interest appears to be significantly higher than anticipated based on the agreed-upon terms. This discrepancy has raised concerns about potential overcharging by the bank and the accuracy of the loan calculations. Urgent clarification and adjustment are needed to rectify this discrepancy and ensure the accurate calculation of interest on my personal loan. I urge the bank to promptly review and correct this issue to prevent further financial implications.",0.92
47,"I encountered an unexpected delay in receiving a refund for a returned purchase made with my debit card. Despite the merchant confirming the refund, the credited amount has not reflected in my account, causing financial inconvenience and uncertainty. Urgent investigation and resolution are needed to ensure the timely crediting of the refund to my account. I urge the bank to expedite the resolution process to mitigate the financial inconvenience caused by this delay.",0.93
48,"A distressing situation unfolded when I discovered unauthorized charges on my credit card statement for transactions I did not initiate or authorize. These unauthorized deductions have raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate these charges, reverse any unauthorized transactions, and enhance the security measures of my credit card account. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.94
49,"An unsettling discrepancy has emerged in the balance of my checking account, where the available balance is significantly lower than expected. This unexpected reduction in my account balance has raised concerns about unauthorized transactions or errors in the bank's records. Urgent investigation is necessary to identify the cause of the discrepancy and rectify any inaccuracies in my account balance. I urge the bank to prioritize this matter and take immediate steps to restore the integrity of my account.",0.95
0,"I received an email notification from the bank informing me about my latest account balance. While it's helpful, I would appreciate more detailed breakdowns of where my funds are allocated. Low urgency.",0.4
1,"The bank sent me an SMS reminder about an upcoming bill payment. While it's useful, I would prefer to receive such reminders via email for easier reference. Low to medium urgency.",0.45
2,"I received an email from the bank with a summary of my recent transactions. While it's informative, I would like the option to customize the frequency and level of detail in these summaries. Low to medium urgency.",0.47
3,"The bank sent me an SMS notification confirming a recent deposit into my account. While it's reassuring, I would appreciate more timely notifications for future transactions. Low to medium urgency.",0.48
4,"I received an email from the bank offering a new financial planning service. While it's interesting, I would like more information about the specific benefits and costs before considering it further. Low to medium urgency.",0.5
5,"The bank sent me an SMS alert about a suspicious transaction on my account. While it's reassuring, I would appreciate more guidance on what actions to take next to secure my account. Low to medium urgency.",0.52
6,"I received an email notification from the bank about changes to their privacy policy. While it's important, I would like a summary of the key updates for quicker review. Low to medium urgency.",0.55
7,"The bank sent me an SMS reminder to update my contact information. While it's necessary, I would prefer to receive such reminders via email for easier access to the update form. Low to medium urgency.",0.42
8,"I received an email from the bank informing me about an upcoming maintenance period for their online banking services. While it's necessary, I would appreciate more notice to plan accordingly. Low to medium urgency.",0.43
9,"The bank sent me an SMS notification confirming a recent credit card transaction. While it's helpful, I would like the option to receive notifications for all transactions, not just certain ones. Low to medium urgency.",0.46
10,"I received an email from the bank with a summary of my monthly account fees. While it's informative, I would like more transparency regarding the breakdown of these fees. Low to medium urgency.",0.49
11,"The bank sent me an SMS alert about an upcoming webinar on financial planning. While it's informative, I would like more details about the topics covered and speakers involved. Low to medium urgency.",0.51
12,"I received an email from the bank offering a discount on a new credit card. While it's tempting, I would like more information about the terms and conditions before considering it further. Low to medium urgency.",0.53
13,"The bank sent me an SMS reminder to review my account statements. While it's necessary, I would prefer to receive such reminders via email for easier access to the statements. Low to medium urgency.",0.56
14,"I received an email from the bank with tips on how to improve my credit score. While it's helpful, I would like more personalized recommendations based on my specific financial situation. Low to medium urgency.",0.57
15,"The bank sent me an SMS notification confirming a recent loan payment. While it's reassuring, I would appreciate more timely notifications for future payments. Low to medium urgency.",0.58
16,"I received an email from the bank announcing a new mobile banking app update. While it's informative, I would like more details about the new features and improvements. Low to medium urgency.",0.59
17,"The bank sent me an SMS alert about an upcoming change to their online banking login process. While it's necessary, I would appreciate more detailed instructions on how to prepare for the change. Low to medium urgency.",0.61
18,"I received an email from the bank with a summary of my investment portfolio performance. While it's informative, I would like more analysis and insights to help me make informed decisions. Low to medium urgency.",0.63
19,"The bank sent me an SMS reminder to update my account password. While it's necessary, I would prefer to receive such reminders via email for easier access to the password reset link. Low to medium urgency.",0.65
20,"I received an email from the bank offering a referral bonus for new account sign-ups. While it's enticing, I would like more information about the eligibility criteria and terms of the offer. Low to medium urgency.",0.67
21,"The bank sent me an SMS notification confirming a recent withdrawal from my savings account. While it's helpful, I would appreciate more detailed transaction descriptions for future notifications. Low to medium urgency.",0.69
22,"I received an email from the bank with a summary of my monthly credit card statement. While it's informative, I would like more insights into my spending habits and ways to optimize rewards. Low to medium urgency.",0.71
23,"The bank sent me an SMS alert about an upcoming change to their mobile banking app interface. While it's necessary, I would appreciate more guidance on how to navigate the updated interface. Low to medium urgency.",0.73
24,"I received an email from the bank with tips on how to protect my account from fraud. While it's helpful, I would like more specific examples and strategies for safeguarding my information. Low to medium urgency.",0.75
25,"The bank sent me an SMS notification confirming a recent transfer between my accounts. While it's helpful, I would appreciate more detailed information about the transfer, such as the recipient account. Low to medium urgency.",0.77
0,"I received a notice from the bank stating that my loan payment is overdue, but I made the payment on time. Urgent attention is needed to rectify this error and prevent any negative impact on my credit score.",0.85
1,"The bank has unexpectedly increased the interest rate on my loan, leading to higher monthly EMI payments. Urgent clarification is required regarding the reason for this increase and whether it can be reversed.",0.82
2,"I received an email from the bank stating that my loan application is missing required documents, but I submitted all necessary paperwork. Urgent investigation is needed to verify the status of my application.",0.88
3,"The bank has mistakenly debited double the amount from my account for the EMI payment, causing financial strain. Urgent action is required to refund the excess amount and prevent further inconvenience.",0.87
4,"I received a notification that my loan has been approved, but the terms and conditions differ from what was initially discussed. Urgent clarification is needed to ensure transparency and avoid misunderstandings.",0.84
5,"The bank's online portal is not allowing me to schedule my EMI payment for the upcoming month, despite the deadline being near. Urgent resolution is needed to avoid late payment penalties.",0.86
6,"I received a letter from the bank stating that my loan application has been rejected due to insufficient credit history, but I have a good credit score. Urgent review is needed to address this discrepancy.",0.83
7,"The bank has mistakenly classified my EMI payment as overdue, even though it was made before the due date. Urgent action is required to update the payment status and prevent negative consequences.",0.85
8,"I received a notice from the bank regarding a change in the repayment schedule for my loan, but I was not informed about this beforehand. Urgent clarification is needed to understand the reasons for the change.",0.82
9,"The bank's customer service representative provided incorrect information about the EMI deferment option, leading to confusion. Urgent clarification is needed to understand the eligibility criteria and process.",0.87
10,"I received an SMS alert about a missed EMI payment, but I have not taken any loan from the bank. Urgent investigation is needed to address this potential case of identity theft.",0.89
11,The bank has unexpectedly increased the processing fee for my loan application without prior notice. Urgent explanation is required regarding the rationale behind this change.,0.84
12,"I received an email stating that my loan repayment account has been deactivated due to non-payment, but I have sufficient funds. Urgent assistance is needed to reactivate the account and prevent penalties.",0.86
13,"The bank's online portal is not reflecting the recent EMI payment I made, even though the amount has been deducted from my account. Urgent investigation is needed to reconcile the payment status.",0.85
14,"I received a notice from the bank regarding a change in the loan interest rate, but I was not informed about this beforehand. Urgent clarification is needed to understand the impact on my EMI payments.",0.83
15,"The bank's website is showing incorrect information about the remaining EMI payments on my loan, causing confusion. Urgent correction is needed to provide accurate repayment details.",0.84
16,"I received an email stating that my loan application has been put on hold due to missing documents, but I have already submitted everything. Urgent verification is needed to proceed with the application process.",0.86
17,"The bank's automated EMI deduction system failed to process my payment on the due date, leading to late payment charges. Urgent resolution is needed to waive these charges and rectify the error.",0.87
18,"I received a notice from the bank regarding an increase in the EMI amount for my loan, but I was not informed about this change beforehand. Urgent explanation is required regarding the reasons for the increase.",0.85
19,"The bank mistakenly deducted the EMI amount twice from my account, causing an overdraft. Urgent action is needed to refund the excess amount and rectify the overdraft situation.",0.88
20,"I received an email stating that my loan application has been rejected due to insufficient income, but I provided all necessary financial documents. Urgent review is needed to reassess my eligibility.",0.84
21,"The bank's online portal is not allowing me to update my EMI payment method, even though I have recently changed banks. Urgent assistance is needed to ensure continuity of loan repayments.",0.86
22,"I received a notice from the bank stating that my loan account has been flagged for default, but I have been making timely payments. Urgent investigation is needed to address this discrepancy and prevent negative consequences.",0.87
23,"The bank has unexpectedly increased the EMI tenure for my loan without prior notice, leading to higher overall interest payments. Urgent explanation is required regarding the rationale behind this change.",0.85
24,"I received an email stating that my loan application has been rejected due to a technical issue, but no further details were provided. Urgent clarification is needed to understand the nature of the problem.",0.83
25,"The bank's online portal is not displaying the correct outstanding loan amount, making it difficult to track repayment progress. Urgent correction is needed to provide accurate account information.",0.84
0,"While trying to log in to the bank's website, I encountered an error message stating 'Invalid credentials' even though I'm using the correct username and password. This unexpected issue has prevented me from accessing my account and conducting essential transactions online. Moderate attention is required to troubleshoot and resolve this login error promptly. I urge the bank to prioritize this matter to ensure seamless website access for customers.",0.6
1,"Upon attempting to transfer funds through the bank's website, I encountered a system error message indicating 'Transaction failed.' This unexpected error has disrupted my financial transactions and raised concerns about the reliability of online fund transfers. Moderate attention is required to investigate the cause of this transaction failure and implement necessary fixes to ensure seamless fund transfers via the website. I urge the bank to address this issue promptly to minimize customer inconvenience.",0.58
2,"While navigating through the bank's website, I noticed that some of the links are not functioning correctly, leading to error pages or redirects to unrelated content. This usability issue has hindered my ability to access important information and complete online transactions smoothly. Moderate attention is required to identify and fix broken links within the website to ensure a seamless browsing experience for customers. I urge the bank to address this matter promptly to maintain website functionality.",0.59
3,"Upon attempting to access my account statements through the bank's website, I encountered difficulties downloading and viewing the statements. This usability issue has made it challenging to review my account activity and track financial transactions conveniently. Moderate attention is required to optimize the statement viewing functionality on the website and ensure seamless access to account statements. I urge the bank to address this matter promptly to enhance the website's usability.",0.62
4,"While trying to update my personal information on the bank's website, I encountered an error message stating 'Update failed.' Despite multiple attempts, I was unable to successfully save the changes, leading to frustration and inconvenience. Moderate attention is required to troubleshoot and resolve this error to ensure customers can update their information seamlessly on the website. I urge the bank to address this issue promptly to enhance website functionality.",0.65
5,"While attempting to apply for a new account through the bank's website, I encountered difficulties completing the online application form, with the submission process failing repeatedly. This usability issue has hindered my ability to open a new account conveniently online. Moderate attention is required to optimize the account application process on the website and ensure a seamless user experience. I urge the bank to address this matter promptly to facilitate online account openings for customers.",0.63
6,"Upon trying to access the bank's website, I noticed that the page loading times are unusually slow, leading to delays in accessing account information and conducting online transactions. This performance issue has negatively impacted the browsing experience and efficiency of online banking activities. Moderate attention is required to optimize the website's performance and enhance page loading speed. I urge the bank to address this matter promptly to improve the website's responsiveness.",0.66
7,"While attempting to reset my password on the bank's website, I encountered difficulties receiving the password reset email, despite entering the correct email address. This unexpected issue has hindered my ability to regain access to my account securely. Moderate attention is required to investigate and resolve the email delivery issue to ensure customers can reset their passwords conveniently. I urge the bank to address this matter promptly to enhance account security.",0.68
8,"Upon attempting to access the bank's website from a mobile device, I encountered display issues and layout inconsistencies, making it challenging to navigate and access account information. This usability issue has hindered my ability to perform essential banking tasks on the go. Moderate attention is required to optimize the website's mobile responsiveness and ensure a seamless browsing experience across different devices. I urge the bank to address this matter promptly to enhance mobile accessibility.",0.67
9,"While trying to enroll in online banking services through the bank's website, I encountered difficulties completing the registration process, with the submission failing repeatedly. This usability issue has hindered my ability to access online banking features and manage my account conveniently online. Moderate attention is required to streamline the enrollment process and ensure a seamless user experience for new registrants. I urge the bank to address this matter promptly to facilitate online banking access for customers.",0.69
10,"Upon attempting to access the bank's website, I encountered a security warning from my browser indicating a potential security risk. This alarming message has raised concerns about the safety of browsing the website and protecting sensitive information. Moderate attention is required to investigate and address any security vulnerabilities on the website to ensure customer data protection. I urge the bank to prioritize this matter promptly to maintain website security and customer trust.",0.71
11,"While navigating through the bank's website, I experienced frequent session timeouts, leading to the abrupt termination of my online banking sessions. This usability issue has disrupted my ability to perform continuous banking activities and access account information seamlessly. Moderate attention is required to extend session durations and prevent premature logouts to enhance the user experience on the website. I urge the bank to address this matter promptly to minimize customer inconvenience.",0.72
12,"Upon attempting to access my credit card account information through the bank's website, I encountered difficulties navigating the interface and locating specific details about my account. This usability issue has hindered my ability to manage my credit card account conveniently online. Moderate attention is required to optimize the account information display and improve user navigation within the website. I urge the bank to prioritize this matter and enhance the website's credit card management functionality.",0.73
13,"While trying to initiate a wire transfer through the bank's website, I encountered difficulties completing the transaction, with the submission process failing repeatedly. This unexpected issue has disrupted my ability to transfer funds conveniently online. Moderate attention is required to troubleshoot and resolve the transaction submission error to ensure seamless wire transfers via the website. I urge the bank to address this matter promptly to minimize customer inconvenience.",0.75
14,"Upon attempting to access the bank's website, I encountered a system error message indicating 'Service unavailable.' This unexpected error has prevented me from accessing online banking services and conducting essential transactions online. Moderate attention is required to investigate and resolve this service outage promptly. I urge the bank to address this issue promptly to restore website functionality and minimize customer disruption.",0.77
15,"While navigating through the bank's website, I noticed discrepancies between the information displayed on different pages, leading to confusion about account details and transaction history. This inconsistency has undermined my confidence in the accuracy of website information. Moderate attention is required to synchronize data across website pages and ensure uniformity in account information presentation. I urge the bank to address this matter promptly to maintain website credibility.",0.76
16,"Upon trying to access the bank's website, I encountered a browser compatibility issue, with certain website features not functioning correctly on my browser version. This compatibility issue has hindered my ability to access online banking services seamlessly. Moderate attention is required to optimize website compatibility across different browsers and versions to ensure a consistent user experience. I urge the bank to address this matter promptly to enhance website accessibility.",0.78
17,"While attempting to access my account statements through the bank's website, I encountered difficulties downloading and viewing the statements. This usability issue has made it challenging to review my account activity and track financial transactions conveniently. Moderate attention is required to optimize the statement viewing functionality on the website and ensure seamless access to account statements. I urge the bank to address this matter promptly to enhance the website's usability.",0.79
18,"Upon trying to initiate a wire transfer through the bank's website, I encountered difficulties completing the transaction, with the submission process failing repeatedly. This unexpected issue has disrupted my ability to transfer funds conveniently online. Moderate attention is required to troubleshoot and resolve the transaction submission error to ensure seamless wire transfers via the website. I urge the bank to address this matter promptly to minimize customer inconvenience.",0.8
19,"While navigating through the bank's website, I experienced frequent session timeouts, leading to the abrupt termination of my online banking sessions. This usability issue has disrupted my ability to perform continuous banking activities and access account information seamlessly. Moderate attention is required to extend session durations and prevent premature logouts to enhance the user experience on the website. I urge the bank to address this matter promptly to minimize customer inconvenience.",0.82
20,"Upon attempting to access my credit card account information through the bank's website, I encountered difficulties navigating the interface and locating specific details about my account. This usability issue has hindered my ability to manage my credit card account conveniently online. Moderate attention is required to optimize the account information display and improve user navigation within the website. I urge the bank to prioritize this matter and enhance the website's credit card management functionality.",0.81
21,"While trying to initiate a wire transfer through the bank's website, I encountered difficulties completing the transaction, with the submission process failing repeatedly. This unexpected issue has disrupted my ability to transfer funds conveniently online. Moderate attention is required to troubleshoot and resolve the transaction submission error to ensure seamless wire transfers via the website. I urge the bank to address this matter promptly to minimize customer inconvenience.",0.83
22,"Upon attempting to access the bank's website, I encountered a system error message indicating 'Service unavailable.' This unexpected error has prevented me from accessing online banking services and conducting essential transactions online. Moderate attention is required to investigate and resolve this service outage promptly. I urge the bank to address this issue promptly to restore website functionality and minimize customer disruption.",0.85
23,"While navigating through the bank's website, I noticed discrepancies between the information displayed on different pages, leading to confusion about account details and transaction history. This inconsistency has undermined my confidence in the accuracy of website information. Moderate attention is required to synchronize data across website pages and ensure uniformity in account information presentation. I urge the bank to address this matter promptly to maintain website credibility.",0.84
24,"Upon trying to access the bank's website, I encountered a browser compatibility issue, with certain website features not functioning correctly on my browser version. This compatibility issue has hindered my ability to access online banking services seamlessly. Moderate attention is required to optimize website compatibility across different browsers and versions to ensure a consistent user experience. I urge the bank to address this matter promptly to enhance website accessibility.",0.87
